"x";"person1";"person2";"robot";
"53.725";"59.727";"";"";
"53.725";"59.727";"";"";
"53.725";"59.727";"";"";
"53.725";"59.727";"";"";
"53.725";"59.727";"";"";
"53.725";"59.727";"";"";
"53.578";"59.764";"";"";
"53.578";"59.764";"";"";
"53.578";"59.764";"";"";
"53.578";"59.764";"";"";
"54.350";"";"59.625";"";
"54.350";"";"59.625";"";
"54.350";"";"59.625";"";
"54.350";"";"59.625";"";
"54.350";"";"59.625";"";
"54.493";"";"59.625";"";
"54.754";"";"59.625";"";
"54.754";"";"59.625";"";
"54.754";"";"59.625";"";
"54.754";"";"59.625";"";
"49.741";"";"";"53.585";
"50.888";"";"";"54.345";
"52.064";"";"";"55.055";
"52.983";"";"";"55.788";
"53.725";"";"";"56.802";
"53.821";"";"";"57.927";
"53.975";"";"";"59.007";
"54.350";"";"";"60.176";
"55.033";"";"";"61.036";
"56.224";"";"";"61.477";
